cataloger,bookid,count,title,author,combinedName,authorOfColor,nonPersonAuthor,yrpub,neighborhood,collection,age,type,category1,category2,publication,media,summary,deweywording,subjects,deweydec,languages,originalLang,lcclassification,isbn
A,168464709,1,The Matchmaker: A Novel,"Hilderbrand, Elin",Elin Hilderbrand,0,0,2014,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Novel,Null,"Little, Brown and Company (2014), Edition: First Edition, 368 pages",Hardcover,The Matchmaker: A Novel by Elin Hilderbrand (2014),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3558 .I384355,[0316099759]
A,168464777,1,The Time Traveler's Wife,"Niffenegger, Audrey",Audrey Niffenegger,0,0,2004,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Novel,Null,"Harcourt (2004), 546 pages",Paperback,The Time Traveler's Wife by Audrey Niffenegger (2004),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Domestic Fiction|Domestic fiction|Fantasy fiction|Librarians > Fiction|Librarians > United States > Fiction|Married people > Fiction|Married people > United States > Fiction|Newberry Library > Fiction|Time travel > Fiction|Women art students > Fiction|Women art students > United States > Fiction|fantasy fiction,813.54,English,English,PS3564 .I362,[0224072374]
A,168464591,1,Prodigal Summer: A Novel,"Kingsolver, Barbara",Barbara Kingsolver,0,0,2001,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Novel,Null,"Harper Perennial (2001), 464 pages",Paperback,Prodigal Summer: A Novel by Barbara Kingsolver (2001),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Appalachian Region > Social life and customs > Fiction|Appalachian Region, Southern > Fiction|Audiobooks|Domestic Fiction|Domestic fiction|Farm life > Fiction|Farm life > fiction|Farmers > Appalachian Region > Fiction|Hunters > Appalachian Region > Fiction|Mountain life > Fiction|Women biologists > Appalachian Region > Fiction",813.54,English,English,PS3561 .I496,[9780060959036]
A,168464640,1,Prodigal Summer,"Kingsolver, Barbara",Barbara Kingsolver,0,0,2001,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Novel,Null,"Perennial / Harper-collins (2001), Edition: 1st Thus., 444 pages",Paperback,Prodigal Summer Publisher: Harper Perennial by Barbara Kingsolver (2001),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Appalachian Region > Social life and customs > Fiction|Appalachian Region, Southern > Fiction|Audiobooks|Domestic Fiction|Domestic fiction|Farm life > Fiction|Farm life > fiction|Farmers > Appalachian Region > Fiction|Hunters > Appalachian Region > Fiction|Mountain life > Fiction|Women biologists > Appalachian Region > Fiction",813.54,English,English,PS3561 .I496,[0965098885]
A,168464682,1,Life of Pi,"Martel, Yann",Yann Martel,0,0,2012,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Novel,Null,"Mariner Books (2012), 319 pages",Paperback,Life of Pi by Yann Martel (2012),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Adventure fiction|Human-animal relationships > Fiction|Literary prizes > Great Britain > Fiction|Ocean travel > Fiction|Orphans > Fiction|Pacific Ocean > Fiction|Psychological fiction|Shipwreck victims > India > Fiction|Storytelling > Fiction|Survival after airplane accidents, shipwrecks, etc. > Fiction|Suspense fiction|Suspense fiction. Psychological fiction. Adventure fiction|Teenage boys > Fiction|Tigers > Fiction|Zoo animals > Fiction",813.54,English,English,PR9199.3 .M3855,[9780547848419]
A,168464694,1,La's Orchestra Saves the World: A Novel,"McCall Smith, Alexander",Alexander McCall Smith,0,0,2010,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Novel,Null,"Anchor (2010), Edition: Reprint, 320 pages",Paperback,La's Orchestra Saves the World: A Novel by Alexander McCall Smith (2010),1945-1999 > 20th Century > English > Fiction > Literature > Modern Period,,823.914,English,English,PR6063 .C326,[030747304X]
A,168464788,1,The History of Love,"Krauss, Nicole",Nicole Krauss,1,0,2006,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Novel,Null,"W. W. Norton & Company (2006), Edition: 1st, 272 pages",Paperback,The History of Love by Nicole Krauss (2006),21st Century > American And Canadian > Fiction > Literature,Audiobooks|Authors > Fiction|Books and reading > Fiction|Immigrants > Fiction|Loss (Psychology) > Fiction|Lost literature > Fiction|Love Stories|Love stories|Poland > Fiction|Psychological fiction,813.6,English,English,PS3611 .R38,[0393328627]
A,168464815,1,The One & Only: A Novel,"Giffin, Emily",Emily Giffin,0,0,2015,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Novel,Null,"Ballantine Books (2015), Edition: Reprint, 448 pages",Paperback,The One & Only: A Novel by Emily Giffin (2015),21st Century > American And Canadian > Fiction > Literature,,813.6,English,English,PS3607 .I28,[0345546903]
A,168464818,1,Daughter of Fortune: A Novel,"Allende, Isabel",Isabel Allende,1,0,1999,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Novel,Null,"Harper Collins Publishers (1999), Edition: 1st, 416 pages",Hardcover,Daughter of Fortune: A Novel by Isabel Allende (1999),1945-1999 > 20th Century > Literature > Spanish And Portuguese > Spanish fiction,"Adventure fiction|Adventure stories|California > History > 1846-1850 > Fiction|California > Social life and customs > 19th century > Fiction|Cassettes, Spoken|Gold mines and mining > California > Fiction|Historical fiction|Love Stories|Love stories|Love stories > Fiction|adventure stories",863.64,English,English,PQ8098.1 .L54,[006019491X]
A,168464876,1,I Love You Through And Through,"Shustak, Bernadette Rossetti",Bernadette Rossetti Shustak,0,0,2005,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Novel,Null,"Cartwheel (2005), 24 pages",Board book,I Love You Through And Through by Bernadette Rossetti Shustak (2005),21st Century > American And Canadian > Fiction > Literature,,813.6,English,English,PZ8.3 .R7442,[0439673631]
A,168464894,1,The Eye of the Tiger,"Smith, Wilbur",Wilbur Smith,0,0,2001,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Novel,Null,"St. Martin's Paperbacks (2001), Edition: First Printing, 403 pages",Paperback,The Eye of the Tiger by Wilbur Smith (2001),English > Fiction > Literature,Adventure stories|Fiction in English|Indian Ocean > Fiction|Large Type Books|Large type books|Treasure troves > Fiction|Treasure-trove > Fiction|adventure stories,823,English,English,PZ4 .S6596 .9,[0312979398]
A,168464685,1,American Wife: A Novel (Random House Reader's Circle),"Sittenfeld, Curtis",Curtis Sittenfeld,0,0,2009,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Novel,Null,"Random House Trade Paperbacks (2009), Edition: 2d ptg., 568 pages",Paperback,American Wife: A Novel (Random House Reader's Circle) by Curtis Sittenfeld (2009),21st Century > American And Canadian > Fiction > Literature,Bildungsromans|Presidents' spouses > United States > Fiction|Women librarians > Fiction,813.6,English,English,PS3619 .I94,[0812975405]
A,168464620,1,"The Ink Dark Moon: Love Poems by Onono Komachi and Izumi Shikibu, Women of the Ancient Court of Japan (Vintage Classics)","Komachi, Ono no",Ono no Komachi,1,0,1990,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Poetry,Null,"Vintage (1990), Edition: 1st Edition, 240 pages",Paperback,"The Ink Dark Moon: Love Poems by Onono Komachi and Izumi Shikibu, Women of the Ancient Court of Japan (Vintage Classics) by Ono no Komachi (1990)",East Asian > Japanese > Japanese poetry > Literature > Other Languages,"Japanese poetry > Heian period, 794-1185 > Translations into English|Japanese poetry > Translations into English|Love poetry, Japanese > Translations into English|Love poetry, Japanese > Women authors > Translations into English|Waka > Translations into English|Waka > Women authors > Translations into English",895.611408,English,English,PL758.825 .L6,[0679729585]
A,168464670,1,A New Hope (Thunder Point),"Carr, Robyn",Robyn Carr,0,0,2015,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Romance,Null,"MIRA (2015), Edition: Original, 336 pages",Paperback,A New Hope (Thunder Point) by Robyn Carr (2015),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3553 .A76334,[0778317870]
A,168464651,1,Forever a Hero: A Western Romance Novel (The Carsons of Mustang Creek),"Miller, Linda Lael",Linda Lael Miller,0,0,2017,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Romance,Null,"HQN (2017), Edition: Original, 400 pages",Paperback,Forever a Hero: A Western Romance Novel (The Carsons of Mustang Creek) by Linda Lael Miller (2017),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,,[037378970X]
A,168464763,1,Runaway Vampire: An Argeneau Novel (Argeneau Vampire),"Sands, Lynsay",Lynsay Sands,0,0,2016,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,SciFi/Fantasy,Null,"Avon (2016), 368 pages",Paperback,Runaway Vampire: An Argeneau Novel (Argeneau Vampire) by Lynsay Sands (2016),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,,[9780062316042]
A,168464671,1,"Welcome, Chaos","Wilhelm, Kate",Kate Wilhelm,0,0,2007,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,SciFi/Fantasy,Null,"Blackstone Audio, Inc. (2007)",Digital audiobook,"Welcome, Chaos by Kate Wilhelm (2007)",1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Science fiction|science fiction,813.54,English,English,PS3573 .I434,
A,168464806,1,Kindergarten (Parents Magazine),"play, Parents Magazine",Parents Magazine play,0,1,2001,Phinney-Greenwood,Phinney-Green4,Adult,Nonfiction,Self Help/Health,Null,"Learning Horizons (2001), Edition: Workbook, 128 pages",Paperback,Kindergarten (Parents Magazine) by Parents Magazine play (2001),Education > Organization and activities in primary education > Primary education (Elementary education) > Primary education in subject areas > Social Sciences,,372.19,English,English,,[1586104802]
A,168464646,1,The Best Laid Plans,"Sheldon, Sidney",Sidney Sheldon,0,0,1998,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Thriller/Suspense,Null,"Grand Central Publishing (1998), Edition: Reissue, 384 pages",Paperback,The Best Laid Plans by Sidney Sheldon (1998),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Adventure stories|Kentucky > Fiction|Newspaper publishing > Fiction|Political fiction|Presidents > United States > Fiction|adventure stories,813.54,English,English,PS3569 .H3927,[0446604089]
A,168464760,1,The Chance (Thunder Point),"Carr, Robyn",Robyn Carr,0,0,2014,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Thriller/Suspense,Null,"MIRA (2014), Edition: 1st, 360 pages",Paperback,The Chance (Thunder Point) by Robyn Carr (2014),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,,[0778315991]
A,168464675,1,Bel Canto,"Patchett, Ann",Ann Patchett,0,0,2002,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Thriller/Suspense,Null,"Harper Perennial (2002), Edition: Reprint, 318 pages",Paperback,Bel Canto by Ann Patchett (2002),American And Canadian > Fiction > Literature,Embassy buildings > Fiction|Hostages > Fiction|Love Stories|Love stories|Opera > Fiction|Psychological fiction|South America > Fiction|Victims of terrorism > Fiction|Women singers > Fiction,813,English,English,PS3566 .A7756,[0060934417]
A,168464700,1,One Little Lie,"Tyler, Steven",Steven Tyler,0,0,2017,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Thriller/Suspense,Null,"Lulu Publishing Services (2017), 304 pages",Paperback,One Little Lie by Steven Tyler (2017),,,,English,English,,[1483415341]
A,168464703,1,"The Girl Who Played with Fire (Millennium Trilogy, No 2)","Larsson, Stieg",Stieg Larsson,0,0,2010,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Thriller/Suspense,Null,"Vintage (2010), Edition: Reprint, 752 pages",Paperback,"The Girl Who Played with Fire (Millennium Trilogy, No 2) by Stieg Larsson (2010)",2000- > German > Literature > Literature in other Germanic languages  > Swedish Fiction > Swedish literature,,839.738,English,English,PT9876.22 .A6933,[0307476154]
A,168464718,1,The Winner,"Baldacci, David",David Baldacci,0,0,2018,Phinney-Greenwood,Phinney-Green4,Adult,Fiction,Thriller/Suspense,Null,"Grand Central Publishing (2018), Edition: Reprint, 560 pages",Paperback,The Winner by David Baldacci (2018),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Detective and mystery stories|Lottery winners > Fiction|Murder > Fiction|Murder > fiction|Suspense fiction|Unmarried mothers > Georgia > Fiction,813.54,English,English,PS3552 .A446,[1538711796]
A,168462160,1,The Couple Next Door: A Novel,"Lapeña, Shari",Shari–Lapeña,0,0,2018,Phinney-Greenwood,Phinney-Green5,Adult,Fiction,Novel,Null,"Penguin Books (2018), Edition: Reissue, 384 pages",Paperback,The Couple Next Door: A Novel by Shari Lape–a (2018),21st Century > American And Canadian > Fiction > Literature,,813.6,English,English,PR9199.4 .L366,[0525505318]
A,168462124,1,Voyage of the Fox Rider,"McKiernan, Dennis L.",Dennis L. McKiernan,0,0,1993,Phinney-Greenwood,Phinney-Green5,Adult,Fiction,SciFi/Fantasy,SciFi/Fantasy,"Roc Books (1993), Edition: 1st, 588 pages",Paperback,Voyage of the Fox Rider by Dennis L. McKiernan (1993),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Fantastic fiction|fantastic fiction,813.54,English,English,PS3563 .C376,[0451452844]
A,168462103,1,TNT: The Power Within You,"Bristol, Claude M.",Claude M. Bristol,0,0,1992,Phinney-Greenwood,Phinney-Green5,Adult,Nonfiction,Self Help/Health,Null,"Touchstone (1974), Edition: First Fireside Books., 240 pages",Paperback,TNT: The Power Within You by Claude M. Bristol (1992),Philosophy and Psychology > Psychology > Psychology,,150,English,English,BF639 .B65,[0671765469]
A,168462116,1,Wilson's Temperature Syndrome: A Reversible Low Temperature Problem,"Wilson, E. Denis",E. Denis Wilson,0,0,1996,Phinney-Greenwood,Phinney-Green5,Adult,Nonfiction,Self Help/Health,Null,"WilsonsTemperatureSyndrome.com (1996), Edition: 5th, 313 pages",Paperback,Wilson's Temperature Syndrome: A Reversible Low Temperature Problem by E. Denis Wilson (1996),Diseases of lymphatic system and ductless glands > Medicine > Pathology; Diseases; Treatment  > Technology,,616.44,English,,,[0970851014]
A,168462282,1,How to get whatever you want out of life,"Brothers, Joyce",Joyce Brothers,0,0,1978,Phinney-Greenwood,Phinney-Green5,Adult,Nonfiction,Self Help/Health,Null,"Simon and Schuster (1978), Edition: First Edition, 286 pages",Hardcover,How to get whatever you want out of life by Joyce Brothers (1978),Applied Psychology > Personal improvement and analysis > Philosophy and Psychology > Psychology,Success|success,158.1,English,English,BF637 .S8,[0671226592]
A,168462132,1,London Match,"Deighton, Len",Len Deighton,0,0,1986,Phinney-Greenwood,Phinney-Green5,Adult,Fiction,Thriller/Suspense,Null,"Ballantine Books (1986), 437 pages",Paperback,London Match by Len Deighton (1986),1945-1999 > 20th Century > English > Fiction > Literature > Modern Period,"Intelligence service > Great Britain > Fiction|Samson, Bernard (Fictitious character) > Fiction|Spy stories",823.914,English,English,PR6054 .E37,[0345332687]
A,168462149,1,Saint Odd: An Odd Thomas Novel,"Koontz, Dean",Dean Koontz,0,0,2015,Phinney-Greenwood,Phinney-Green5,Adult,Fiction,Thriller/Suspense,Null,"Bantam (2015), Edition: Reprint, 480 pages",Paperback,Saint Odd: An Odd Thomas Novel by Dean Koontz (2015),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3561 .O55,[0345545893]
A,168462156,1,Eleventh Hour (An FBI Thriller),"Coulter, Catherine",Catherine Coulter,0,0,2003,Phinney-Greenwood,Phinney-Green5,Adult,Fiction,Thriller/Suspense,Null,"Jove Books (2004), 347 pages",Paperback,Eleventh Hour (An FBI Thriller) by Catherine Coulter (2003),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Government investigators > Fiction|Savich, Dillon (Fictitious character) > Fiction|Sherlock, Lacey (Fictitious character) > Fiction|Suspense fiction|United States. Federal Bureau of Investigation > Fiction",813.54,English,English,PS3553 .O843,[0515135739]
A,168462167,1,The Firm,"Grisham, John",John Grisham,0,0,1992,Phinney-Greenwood,Phinney-Green5,Adult,Fiction,Thriller/Suspense,Null,"Dell Publishing Company (1992), 501 pages",Paperback,The Firm by John Grisham (1992),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Detective and mystery stories|Government investigators > Fiction|Government investigators > United States > Fiction|Large Type Books|Large type books|Law Firms > Fiction|Law firms > Fiction|Law firms > Memphis > Fiction|Legal stories|Memphis (Tenn.) > Fiction|Organized crime > Fiction|Organized crime > United States > Fiction,813.54,English,English,PS3557 .R5355,[9780440211457]
A,168462320,1,A Guide Book of United Stated Coins: 1973,"yeoman, r s",r s yeoman,0,0,1973,Phinney-Greenwood,Phinney-Green5,Adult,Nonfiction,Travel,Null,"Whitman Publishing Company (1973), Edition: Revised Edition",Hardcover,A Guide Book of United Stated Coins: 1973 by r s yeoman (1973),,,,,,,
A,167757841,1,"Molly's Game [Movie Tie-in]: The True Story of the 26-Year-Old Woman Behind the Most Exclusive, High-Stakes Underground Poker Game in the World","Bloom, Molly",Molly Bloom,0,0,2017,Queen Anne,QueenAnne1,Adult,Nonfiction,Biography/Autobiography/Memoir,Null,"Dey Street Books (2017), Edition: Media Tie In, 272 pages",Paperback,"Molly's Game [Movie Tie-in]: The True Story of the 26-Year-Old Woman Behind the Most Exclusive, High-Stakes Underground Poker Game in the World by Molly Bloom (2017)",Amusements and Recreation > Arts and Recreation > Biography > Biography And History > Card Games > Games Of Chance > Poker,,795.412092,English,English,,[006283858X]
A,167770173,1,"National Presto Cooker Recipe Book: Models 603, 604, and 606: Instructions Recipes Time Tables","Presto, National",National Presto,0,0,1949,Queen Anne,QueenAnne1,Adult,Nonfiction,Cookery,Null,"National Presto Industries, Inc. (1949), 128 pages",Paperback,"National Presto Cooker Recipe Book: Models 603, 604, and 606: Instructions Recipes Time Tables by National Presto (1949)",,,,,,,
A,167757757,1,Dictionary of 501 Spanish Verbs: Fully Conjugated in All the Tenses,"Kendris, Christoper",Christoper Kendris,0,0,1971,Queen Anne,QueenAnne1,Adult,Nonfiction,Cultural Studies,Null,"Barrons Educational Series (1971), 559 pages",Paperback,Dictionary of 501 Spanish Verbs: Fully Conjugated in All the Tenses by Christoper Kendris (1971),Language > School Texts > Spanish,FALSE,468.2421,English,English,PC4271 .K38,[0812004213]
A,167757822,1,The Killer Angels: The Classic Novel of the Civil War (Civil War Trilogy),"Shaara, Michael",Michael Shaara,0,0,1987,Queen Anne,QueenAnne1,Adult,Fiction,Novel,Null,"Ballantine Books (1987), 355 pages",Paperback,The Killer Angels: The Classic Novel of the Civil War (Civil War Trilogy) by Michael Shaara (1987),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Gettysburg, Battle of, Gettysburg, Pa., 1863 > Fiction|Historical Fiction|Historical fiction|Large Type Books|Large type books|Pennsylvania > Fiction. > Civil War, 1861-1865|Pennsylvania > History > Civil War, 1861-1865 > Fiction|Talking books|War stories|historical fiction",813.54,English,English,PS3569 .H2,[0345348109]
A,167757834,1,Ravage 88,"Powell, Eli",Eli Powell,0,0,2018,Queen Anne,QueenAnne1,Adult,Fiction,Novel,Null,"Independently published (2018), 90 pages",Paperback,Ravage 88 by Eli Powell (2018),,,,English,English,,[1717986986]
A,167757849,1,Believing the Lie: A Lynley Novel,"George, Elizabeth",Elizabeth George,0,0,2012,Queen Anne,QueenAnne1,Adult,Fiction,Novel,Null,"Dutton (2012), Edition: 1st, 610 pages",Paperback,Believing the Lie: A Lynley Novel by Elizabeth George (2012),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3557 .E478,[9780451237699]
A,167757779,1,Annie's Song,"Anderson, Catherine",Catherine Anderson,0,0,2013,Queen Anne,QueenAnne1,Adult,Fiction,Novel,Null,"Avon (2013), 416 pages",Paperback,Annie's Song by Catherine Anderson (2013),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Deaf women > Fiction|Historical Fiction|Historical fiction|Love stories|Oregon > History > Fiction|historical fiction,813.54,English,English,PS3551 .N3543,[9780380779611]
A,167757803,1,Painted Statue,"Claire, Stephanie",Stephanie Claire,0,0,1987,Queen Anne,QueenAnne1,Adult,Fiction,Novel,Null,"Hodder & Stoughton (1987), 112 pages",Hardcover,Painted Statue by Stephanie Claire (1987),English > Fiction > Literature,,823,English,English,,[0340394099]
A,167757831,1,The Girl Who Played with Fire (Millennium Series),"Larsson, Stieg",Stieg Larsson,0,0,2010,Queen Anne,QueenAnne1,Adult,Fiction,Thriller/Suspense,Null,"Vintage Crime/Black Lizard (2010), Edition: 1st, 630 pages",Paperback,The Girl Who Played with Fire (Millennium Series) by Stieg Larsson (2010),2000- > German > Literature > Literature in other Germanic languages  > Swedish Fiction > Swedish literature,,839.738,English,English,PT9876.22 .A6933,[9780307454553]
A,167760542,1,Rising Sun,"Crichton, Michael",Michael Crichton,0,0,1992,Queen Anne,QueenAnne1,Adult,Fiction,Thriller/Suspense,Null,"Alfred A. Knopf (1992), Edition: 1st, 355 pages",Hardcover,Rising Sun by Michael Crichton (1992),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Adventure stories|Business intelligence > Fiction|Corporations, Japanese > California > Los Angeles > Fiction|Corporations, Japanese > Los Angeles > Fiction|Detective and mystery stories|Industries > Japan > Fiction|Large type books|Los Angeles (Calif.) > Fiction|Police > California > Los Angeles > Fiction|Police > Los Angeles > Fiction",813.54,English,English,PS3553 .R48,[0394589424]
A,167759110,1,Not That Bad: Dispatches from Rape Culture,"Gay, Roxane",Roxane Gay,1,0,2018,Queen Anne,QueenAnne2,Adult,Nonfiction,Cultural Studies,Anthology,"Harper Perennial (2018), 368 pages",Paperback,Not That Bad: Dispatches from Rape Culture by Roxane Gay (2018),"Social Sciences > Social Sciences, Sociology, Anthropology > Social groups ; Inequality",,305,English,English,,[0062413511]
A,167759106,1,Fascism: A Warning,"Albright, Madeleine",Madeleine Albright,0,0,2018,Queen Anne,QueenAnne2,Adult,Nonfiction,Cultural Studies,Null,"Harper (2018), Edition: First Edition, 304 pages",Hardcover,Fascism: A Warning by Madeleine Albright (2018),Collectivism and fascism > Political Science  > Political Science  > Political ideologies > Social Sciences,,320.53,English,English,,[0062802186]
A,167759135,1,Rose Daughter,"McKinley, Robin",Robin McKinley,0,0,1998,Queen Anne,QueenAnne2,Adult,Nonfiction,Cultural Studies,Null,"Ace (1998), Edition: First Edition, 304 pages",Paperback,Rose Daughter by Robin McKinley (1998),"Customs, Etiquette, Folklore > European folktales > Folk literature > Folklore > Folklore of France > History, geographic treatment, biography > Social Sciences",Fairy tales|Folklore > France|fairy tales,398.2094401,English,English,PZ8,[0441005837]
A,167759118,1,The Last Anniversary: A Novel,"Moriarty, Liane",Liane Moriarty,0,0,2014,Queen Anne,QueenAnne2,Adult,Fiction,Novel,Null,"Harper Perennial (2006), Edition: 1, 400 pages",Paperback,The Last Anniversary: A Novel by Liane Moriarty (2014),21st Century > English > Fiction > Literature > Modern Period,Domestic fiction|Family > Australia > Fiction,823.92,English,English,PR9619.4 .M67,[9780060890681]
A,167759149,1,The Razor's Edge,"Maugham, W. Somerset",W. Somerset Maugham,0,0,1984,Queen Anne,QueenAnne2,Adult,Fiction,Novel,Null,Penguin Books (1984),Paperback,The Razor's Edge by W. Somerset Maugham (1984),1901-1945 > 20th Century > English > Fiction > Literature > Modern Period,Bildungsromane|Fiction in English|Medicine in Literature|Medicine in literature|Publishers' advertisements|fiction in English,823.912,English,English,PR6025 .A86,[0140073132]
A,167759150,1,The Razor's Edge,"Maugham, W. Somerset",W. Somerset Maugham,0,0,1984,Queen Anne,QueenAnne2,Adult,Fiction,Novel,Null,Penguin Books (1984),Paperback,The Razor's Edge by W. Somerset Maugham (1984),1901-1945 > 20th Century > English > Fiction > Literature > Modern Period,Bildungsromane|Fiction in English|Medicine in Literature|Medicine in literature|Publishers' advertisements|fiction in English,823.912,English,English,PR6025 .A86,[0140073132]
A,167759154,1,All Fall Down (Oxenbury Board Books),"Oxenbury, Helen",Helen Oxenbury,0,0,1999,Queen Anne,QueenAnne2,Adult,Fiction,Novel,Null,"Little Simon (1999), Edition: Reissue, 10 pages",Board book,All Fall Down (Oxenbury Board Books) by Helen Oxenbury (1999),21st Century > English > Fiction > Literature > Modern Period,,823.92,English,English,PZ7 .O975,[9780689819858]
A,167759114,1,The Dawn Patrol (Vintage Crime/Black Lizard),"Winslow, Don",Don Winslow,0,0,2009,Queen Anne,QueenAnne2,Adult,Fiction,Thriller/Suspense,Null,"Vintage Crime/Black Lizard (2009), Edition: Reprint, 320 pages",Paperback,The Dawn Patrol (Vintage Crime/Black Lizard) by Don Winslow (2009),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3573 .I5326,[0307278913]
A,167760706,1,"A Company of Readers: Uncollected Writings of W. H. Auden, Jacques Barzun, and Lionel Trilling from The Reader's Subscription and Mid-Century Book Clubs","Krystal, Arthur",Arthur Krystal,0,0,2001,Queen Anne,QueenAnne3,Adult,Fiction,Anthology/Essays/Short stories,Null,"Free Press (2001), Edition: 1st, 320 pages",Hardcover,"A Company of Readers: Uncollected Writings of W. H. Auden, Jacques Barzun, and Lionel Trilling from The Reader's Subscription and Mid-Century Book Clubs by Arthur Krystal (2001)",American Anthologies > Information > Quotations,,81,English,English,AC5 .C7317,[0743202627]
A,167760626,1,It's All In The Playing,"MacLaine, Shirley",Shirley MacLaine,0,0,1988,Queen Anne,QueenAnne3,Adult,Nonfiction,Biography/Autobiography/Memoir,Null,"Bantam (1988), 352 pages",Paperback,It's All In The Playing by Shirley MacLaine (1988),Biography > Biography > Biography and History,"Entertainers > United States > Biography|Large Type Books|Large type books|MacLaine, Shirley, 1934-|Spiritualists > United States > Biography",920,English,English,PN2287 .M18,[0553272993]
A,167760569,1,"Stones into Schools: Promoting Peace with Books, Not Bombs, in Afghanistan and Pakistan","Mortenson, Greg",Greg Mortenson,0,0,2009,Queen Anne,QueenAnne3,Adult,Nonfiction,Cultural Studies,Null,"Viking (2009), Edition: 1st, 448 pages",Hardcover,"Stones into Schools: Promoting Peace with Books, Not Bombs, in Afghanistan and Pakistan by Greg Mortenson (2009)","Culture Studies > Education > Fagging and hazing; Bullying; German student duels > Social Sciences > Teachers, Methods, and Discipline",,371.823421,English,English,LC2330 .M66,[0670021156]
A,167760703,1,Against All Enemies: Inside America's War on Terror,"Clarke, Richard",Richard Clarke,0,0,2004,Queen Anne,QueenAnne3,Adult,Nonfiction,Cultural Studies,Null,"Free Press (2004), Edition: 1st Edition., 304 pages",Hardcover,Against All Enemies: Inside America's War on Terror by Richard Clarke (2004),Biography and History > Bush Administration And Beyond > George W. Bush > North America > Roosevelt Administration And Beyond > United States,"Qaida (Organization)|Qaida (organization)|September 11 Terrorist Attacks, 2001|September 11 Terrorist attacks, 2001|Terrorism > Government policy > United States|Terrorism > Government policy > United states|Terrorism > United States. > Government policy|War on Terrorism, 2001-|War on terrorism, 2001-",973.931,English,English,HV6432 .C53,[0743260244]
A,167760601,1,Terminal,"Cook, Robin",Robin Cook,0,0,1994,Queen Anne,QueenAnne3,Adult,Fiction,Mystery,Null,"Berkley (1994), Edition: Reprint, 1 pages",Paperback,Terminal by Robin Cook (1994),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Cancer > Fiction|Cancer > Treatment > Fiction|Detective and mystery stories|Medical novels|Miami (Fla.) > Fiction,813.54,English,English,PS3553 .O5545,[0425140946]
A,167760581,1,The New Inheritors,"Wascom, Kent",Kent Wascom,0,0,2018,Queen Anne,QueenAnne3,Adult,Fiction,Novel,Null,"Grove Press (2018), Edition: 1st, 240 pages",Hardcover,The New Inheritors by Kent Wascom (2018),,,,English,English,,[9780802128171]
